Event Flow,Count,Weight,Variant No
"('vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",11,0.02981029810298103,Variant1
"('vervolgconsult poliklinisch', 'administratief tarief       - eerste pol', 'vervolgconsult poliklinisch')",6,0.016260162601626018,Variant2
"('1e consult poliklinisch', 'administratief tarief       - eerste pol')",4,0.01084010840108401,Variant3
"('vervolgconsult poliklinisch', 'administratief tarief       - eerste pol', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",3,0.008130081300813009,Variant4
"('vervolgconsult poliklinisch', 'administratief tarief       - eerste pol', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",3,0.008130081300813009,Variant5
"('verlosk.-gynaec.   jaarkaart kosten-out', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",3,0.008130081300813009,Variant6
"('verlosk.-gynaec.   jaarkaart kosten-out', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",3,0.008130081300813009,Variant7
"('1e consult poliklinisch', 'administratief tarief       - eerste pol', 'telefonisch consult')",3,0.008130081300813009,Variant8
"('verlosk.-gynaec.   jaarkaart kosten-out', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol', 'vervolgconsult poliklinisch', 'vervolgconsult poliklinisch', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",2,0.005420054200542005,Variant9
"('verlosk.-gynaec.   jaarkaart kosten-out', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol', 'vervolgconsult poliklinisch', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",2,0.005420054200542005,Variant10
"('verlosk.-gynaec. korte kaart kosten-out', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",2,0.005420054200542005,Variant11
"('cytologisch onderzoek - ectocervix -', '1e consult poliklinisch', 'administratief tarief       - eerste pol')",2,0.005420054200542005,Variant12
"('telefonisch consult', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol')",2,0.005420054200542005,Variant13
"('cytologisch onderzoek - vagina -', 'vervolgconsult poliklinisch', 'administratief tarief       - eerste pol', 'telefonisch consult')",2,0.005420054200542005,Variant14
